CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U05190TN1990PLC073600,COIR PRODUCTS (INDIA) LIMITED,ROC Chennai,Company limited by shares,Non-government company,Public,40000000.00,34000000.00,1990-11-07,"8, RANGOON STREET,   RIVER SIDE SLUM, THOUSAND LIGHTS,,CHENNAI,Chennai,Tamil Nadu,600006-India",Unlisted,Strike Off,tamil nadu,Indian,05190,Agriculture and Allied Activities
U05190TZ2002PTC010113,S A R TIME NETWORK MARKETING PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,200000.00,100000.00,2002-03-21,"13MUTHUSAMY COLONY   COIMBATORE,TAMILNADU,Coimbatore,Tamil Nadu,641032-India",Unlisted,Strike Off,tamil nadu,Indian,05190,Agriculture and Allied Activities
U05510TZ1997PTC008164,FUN VALLEY AMUSEMENT AND EQUIPMENTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,100000.00,2000.00,1997-11-05,"4 M, S.S.APARTMENTS3 RD STREET   GOPALAPURAM,COIMBATORE,Coimbatore,Tamil Nadu,641018-India",Unlisted,Strike Off,tamil nadu,Indian,05510,Agriculture and Allied Activities
U06301TZ1996PTC006945,MERIDIAN INTERPORT SERVICES PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,5000000.00,500000.00,1996-02-12,"NO 1054 IST FLOOR GOWTHAMANNEXE BUILDING   AVANASHI ROAD,COIMBATORE,Coimbatore,Tamil Nadu,641018-India",Unlisted,Strike Off,tamil nadu,Indian,06301,Others
U06301TZ2003PTC010542,SRI EASAN LOGISTICS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000.00,400000.00,2003-04-04,"G T COMPLEX127 2  RAILWAY STATION ROAD   ATTUR,SALEM,Salem,Tamil Nadu,636102-India",Unlisted,Strike Off,tamil nadu,Indian,06301,Others
U07499TZ1997PTC007780,BUSY BOY CONSULTANTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,50000.00,2000.00,1997-03-12,"I FLOOR 72 RACE COURSECOIMBAATORE - 641 018.   RACE COURSE,COIMBATORE,Coimbatore,Tamil Nadu,641018-India",Unlisted,Strike Off,tamil nadu,Indian,07499,Others
U08106TZ2023PTC029019,MOZPAUL VENTURES PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-07-26,"No. 88, CR Building,3rd Floor,Coimbatore South,Coimbatore,Tamil Nadu,641018-India",Unlisted,Active,tamil nadu,Indian,08106,Mining and Quarrying
U08990TN2024PTC172275,R.R.M. BLUE METALS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2024-07-27,"NO 5/97A,MANINTA PALLATTU,VILAI, THARATHATTU ROAD,,Vilavancode,Kanyakumari,Tamil Nadu,629157-India",Unlisted,Active,tamil nadu,Indian,08990,Mining and Quarrying
U08999TN2024PTC167574,VADUVAMMAL ASPHALT INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2024-02-14,"No.1, Fourth Floor, 4A/2,,Anna Salai, Pudupet,Chennai,Chennai,Tamil Nadu,600002-India",Unlisted,Active,tamil nadu,Indian,08999,Mining and Quarrying
U09000TZ1994PLC005122,SALEM MEDICAL WASTE MANAGEMENT COMPANY LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Public,250000.00,9000.00,1994-06-13,"INDIAN MEDICAL ASSOCIATION,JUNCTION YERCAUD ROAD,   FIVE ROADS,SALEM-636 004.,NA,Salem,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,09000,Others
U09000TZ2005PTC011867,TIRUPUR MURUGAMPALAYAM COMMON EFFLUENTS TREATMENT COMPANY PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,155000000.00,1980000.00,2005-06-02,"SF.NO 214 2 ERANKATTU THOTTAMMURUGAMPALAYAM   IDUVAMPALAYAM PO TIRUPUR,COIMBATORE DIST,Tamil Nadu,641687-India",Unlisted,Active,tamil nadu,Indian,09000,Others
U09900TN2024PTC168013,MAT BLUE METALS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2024-02-28,"Building No 19/2,Punnyavalan Kurusadi,Radhapuram,Tirunelveli,Tamil Nadu,627105-India",Unlisted,Active,tamil nadu,Indian,09900,Mining and Quarrying
U32201TN1997PLC038691,PHICC TECH LIMITED,ROC Chennai,Company limited by shares,Non-government company,Public,50000000.00,70.00,1997-07-23,"130 BHARATHI STREETVASUDEVA NAGFAR   JAFFARKHAN PET,MADRAS 83,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,32201,Manufacturing (Machinery and Equipments)
U32201TN1997PTC038293,SUDHA SHIRISH INTERNET SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,0.00,1997-05-29,"1800 E W S VASANTH COLONYANNA NAGAR,   CHENNAI 600 040,CHENNAI 600 040,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,32201,Manufacturing (Machinery and Equipments)
U32201TN2004PLC054633,HYUNDAI INDIA TELECOM LIMITED,ROC Chennai,Company limited by shares,Non-government company,Public,50000000.00,500000.00,2004-11-09,"44, TANK ROADCHENNAI 600034   CHENNAI 600034,CHENNAI 600034,Chennai,Tamil Nadu,600034-India",Unlisted,Strike Off,tamil nadu,Indian,32201,Manufacturing (Machinery and Equipments)
U32203TN2006PTC061052,ANTIMAFX STUDIOS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,500000.00,100000.00,2006-09-07,"23A, B BLOCK, 3 C   NORTH BOAG ROAD, T NAGAR,CHENNAI,Chennai,Tamil Nadu,600017-India",Unlisted,Strike Off,tamil nadu,Indian,32203,Manufacturing (Machinery and Equipments)
U32209TZ1991PTC003096,EXPOSURE COMMUNICATIONS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000.00,200000.00,1991-01-25,"104FIRST FLOOR   SENGUPTA STREET,COIMBATORE,Coimbatore,Tamil Nadu,641009-India",Unlisted,Strike Off,tamil nadu,Indian,32209,Manufacturing (Machinery and Equipments)
U32300TN2024PTC169442,KNILEMART SPORTING PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-04-15,"No. 279, Godhavari Street,Bharathi Nagar,Chennai City Corporation,Chennai,Tamil Nadu,600113-India",Unlisted,Active,tamil nadu,Indian,32300,Manufacturing (Others)
U32301TN1988PTC016010,MADURA ELECTRONICS BALLASTS PRIVATE LIMITED.,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,0.00,1988-07-18,"16, K.K.NAGAR,MADURAI,Madurai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,32301,Manufacturing (Machinery and Equipments)
U32301TN1989PTC016687,LITASKI ELECTRICALS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,7000000.00,7000000.00,1989-01-02,"G-14, First Main Road   Ambattur Industrial Estate, Ambattur,Chennai,Chennai,Tamil Nadu,600058-India",Unlisted,Active,tamil nadu,Indian,32301,Manufacturing (Machinery and Equipments)
U32301TN1992PTC023015,SUPER TAPE AND DISCS PVT. LTD,ROC Chennai,Company limited by shares,Non-government company,Private,2000000.00,0.00,1992-07-03,"713, ANNA SALAI,MADRAS-600006,MADRAS-600006,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,32301,Manufacturing (Machinery and Equipments)
U32301TN1992PTC023897,PTC TELEPHONE SERVICE (INDIA) PVT. LTD,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,0.00,1992-11-26,"40,G.N.CHETTY ST,T.NAGAR,   MADRAS-600017,MADRAS-600017,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,32301,Manufacturing (Machinery and Equipments)
U32301TN1994PTC027693,BETHESA COMMUNICATIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,2500000.00,2418100.00,1994-05-31,"NEW LIFE BLDG,191, MOUNT ROAD   LITTLE MOUNT,MADRAS 600 015,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,32301,Manufacturing (Machinery and Equipments)
